conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/499c05a2-6f36-4407-83c1-dc3448d35818,"ensure public safety and security","",skill/competence,transversal,"Implement the relevant procedures, strategies and use the proper equipment to promote local or national security activities for the protection of data, people, institutions, and property."
http://data.europa.eu/esco/skill/876bb0fb-6b71-4617-9df6-ddabb9b7579f,"report airport security incidents","",skill/competence,transversal,"Compose comprehensive reports on airport security incidents, such as the detaining of unruly travellers, confiscation of luggage items, or damaging of airport property."
http://data.europa.eu/esco/skill/34415032-ad3d-417a-84de-06a80728e8ef,"check implementation security plan","",skill/competence,transversal,"Supervise the realisation of the aviation safety instructions."
http://data.europa.eu/esco/skill/ae699de1-0746-4fe2-86f0-17770db7790d,"perform security checks","",skill/competence,transversal,"Monitor and check individuals' bags or personal items in order to make sure the individuals present no threats and that their behaviour is legally compliant."
http://data.europa.eu/esco/skill/7c50c8be-c5c0-4c36-9e0b-e06176572944,"calculate quotations for security devices services","",skill/competence,transversal,"Calculate and present quotations for the installation or maintenance services to be provided to clients, according to their door devices, costs and schedules."
http://data.europa.eu/esco/skill/ba9260ba-1c8d-495e-94f1-f7cab7e73cea,"social security law","",skill/competence,transversal,"Legislation concerning the protection of individuals and the provision of aid and benefits, such as health insurance benefits, unemployment benefits, welfare programs and other government-provided soc"
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,"manage IT security compliances","",skill/competence,transversal,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security."
http://data.europa.eu/esco/skill/1c8658c0-8f1e-4bf1-8e81-0a3a6033847e,"wire security sensors","",skill/competence,transversal,"Draw wires from the correct contact points in a variety of security sensors to the control panel. Make sure the wiring plan of the control panel is clear and effective."
http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313,"assessment of risks and threats","",skill/competence,transversal,"The security documentation and any security-related communications and information."
http://data.europa.eu/esco/skill/f28c3e9b-8666-48d4-a5e4-542ac193879b,"advise on social security benefits","",skill/competence,transversal,"Advise citizens on government-regulated benefits they are eligible for, such as unemployment benefits, family benefits, and other social security benefits."
http://data.europa.eu/esco/skill/14029d35-3831-4176-be75-da64e6024e6f,"alarm systems","",skill/competence,transversal,"Security systems in buildings and on properties automatically alarming security companies or producing acoustic or audio-visual signals when break-in, theft or damage of property is detected."
http://data.europa.eu/esco/skill/9b9c1749-786a-42d5-a904-a1bcd9865d86,"meet the requirements of social security reimbursement bodies","",skill/competence,transversal,"Ensure that the sessions are compliant with the requirements of the national social security bodies and that reimbursements are acceptable."
http://data.europa.eu/esco/skill/a4fd17bf-6309-47c5-b7fa-ae5560673acf,"identify security threats","",skill/competence,transversal,"Identify security threats during investigations, inspections, or patrols, and perform the necessary actions to minimise or neutralise the threat."
http://data.europa.eu/esco/skill/43961ba6-5a96-4975-bb83-f6da854ade03,"set health, hygiene, safety and security standards","",skill/competence,transversal,"Fix standards and procedures to ensure health, hygiene, safety and security in the establishment."
http://data.europa.eu/esco/skill/4a92d8ce-ffd6-4da5-a50e-ef1bff5cc219,"government social security programmes","",skill/competence,transversal,"The different areas of social security provided by the government, the different rights which citizens have, which benefits are available, the rules which regulate social security and the different si"
http://data.europa.eu/esco/skill/412d1d99-5624-478e-8bc7-dddebed44bab,"provide door security","",skill/competence,transversal,"Spot and monitor individuals or groups of people at the door who intend to enter the premises unlawfully or have potential for causing threats."
http://data.europa.eu/esco/skill/f9e42732-d143-465d-bc9e-b27758537725,"set safety and security standards","",skill/competence,transversal,"Determine standards and procedures to ensure safety and security in an establishment."
http://data.europa.eu/esco/skill/af43a17b-8ac2-4cff-8318-42701317daa7,"coordinate patrols","",skill/competence,transversal,"Coordinate the investigation and inspection of a certain area by assigning patrollers to routes and areas, establishing the area that needs patrolling, and coordinating the activities during the patro"
http://data.europa.eu/esco/skill/1638fad2-6858-477d-8ee9-2aa463870602,"manage securities","",skill/competence,transversal,"Administer the securities owned by the company or organisation, namely debt securities, equity securities and derivatives aiming to get the highest benefit from them."
